type,id,lon,lat
Path,97,-71.07690848226883,42.39877790736839
Path,98,-71.04905103615721,42.25106733938178
Path,99,-71.0274346044234,42.27294714984798
Path,100,-71.18937924859057,42.31139845939801
Path,101,-71.07618617769272,42.39399500085232
Path,102,-71.05505164538167,42.17027925672624
Path,103,-71.062326819745,42.27265416858534
Path,104,-71.04285747557992,42.291767847401815
Path,105,-71.0767582864952,42.35545958560821
Path,106,-70.93015264543256,42.60651013419434
Path,107,-70.93195667220917,42.601304405404925
Path,108,-70.94668294096367,42.63417306493599
Path,109,-70.94101879933447,42.62954731597359
Path,110,-70.93779816012817,42.626919394812724
Path,111,-70.91222018535332,42.12758247091568
Path,112,-70.92768952231616,42.614977781031996
Path,113,-70.9288031777259,42.6110821726305
Path,114,-70.93428230647167,42.59686360876257
Path,115,-70.93630591314495,42.59310780664786
Path,116,-70.93661031003143,42.58893391560216
Path,117,-71.1330662225507,42.41212866375689
Path,118,-71.13295664282376,42.408584465301246
Path,119,-70.9174974354401,42.126882195504415
Path,120,-70.9223534532416,42.126256486588666
Path,121,-70.92709774805756,42.12608118005652
Path,122,-70.93166918146584,42.12589424975343
Path,123,-70.8937207688828,42.121855457129236
Path,124,-70.90033746697134,42.123708771002654
Path,125,-71.09802045680014,42.29877273085693
Path,126,-70.88659413545543,42.55154445739884
Path,127,-71.09579765099903,42.29793472437754
Path,128,-71.0120492516559,42.335974296897255
Path,129,-71.01004616496834,42.33674418206152
Path,130,-71.15829507625632,42.466536334590835
Path,131,-71.28175973143574,42.51899685995746
Path,132,-71.28308470141222,42.522622366482736
Path,133,-71.28342715201751,42.52638578314594
Path,134,-71.2776385352377,42.51639108374848
Path,135,-71.24723530124696,42.43715843261796
Path,136,-71.0352915185467,42.3292675659554
Path,137,-70.96072845748002,42.57976430659664
Path,138,-70.88287828256149,42.4983317283533
Path,139,-70.87772281250375,42.49650163495088
Path,140,-70.87230779562915,42.498381769600726
Path,141,-70.86671380243685,42.49960840558851
Path,142,-71.07139570735056,42.363128911592035
Path,143,-71.06579538597683,42.40866473543489
Path,144,-71.06383252407988,42.40547475061364
Path,145,-71.14045400479476,42.257826288138084
Path,146,-71.55523544906688,42.3497581380054
Path,147,-71.54866690749093,42.394200556801664
Path,148,-70.93370404906003,42.62357871677202
Path,149,-70.92882639014184,42.61947262321764
Path,150,-71.02442980026659,42.432843973107545
Path,151,-71.01469700339904,42.442968098438186
Path,152,-71.01549011593612,42.43818237303156
Path,153,-71.02042109514505,42.43494416622357
