type,id,lon,lat
o,49,-71.0414666453272,42.35275172862626
o,50,-71.04104032881837,42.34767236156456
o,51,-71.10895827289544,42.49189223438344
o,52,-71.12027007367678,42.39427721670413
o,53,-71.09446068547958,42.494757332301035
o,54,-71.24041238954234,42.362693435685784
o,55,-71.16623402743616,42.39127018737743
o,56,-70.97805732632736,42.46576296102751
o,57,-70.95471545390463,42.46568812319782
o,58,-70.95175359448255,42.46027560322107
o,59,-70.67117650908061,42.62351620353571
o,60,-70.91967332061657,42.55479545849757
o,61,-70.89086202898845,42.52985302005684
o,62,-71.08514965491243,42.37209061667547
o,63,-71.11708686324316,42.36882507857424
o,64,-71.13732039489534,42.383386001466896
o,65,-71.05358590180141,42.41572725513727
o,66,-71.08106196772776,42.42135614082627
o,67,-71.13578031004883,42.427519146360325
o,68,-71.07051135791403,42.46573005231714
o,69,-71.20212379074147,42.34810123658275
o,70,-71.1179465228048,42.52646019136875
o,71,-71.15055801384487,42.47110870009156
o,72,-71.43372795568382,42.28256399081767
o,73,-70.9264803199041,42.52071518845884
o,74,-71.55611731445127,42.4003779919732
o,75,-71.10354212033478,42.3498656961883
o,76,-71.07686583806317,42.35418964602853
o,77,-71.0600246736367,42.37271351588813
o,78,-71.11326907722808,42.2867111611167
o,79,-71.10419231560815,42.32069341996121
o,80,-71.10882587647431,42.31912603835963
o,81,-71.13798134199388,42.24575676543551
o,82,-71.03289092943356,42.398308433174556
o,83,-71.043013688041,42.37237379474542
o,84,-71.03726991702234,42.371909941445104
o,85,-71.09291456483254,42.320678055383006
o,86,-71.07462170049466,42.317174504910966
o,87,-71.07551287125784,42.30085975132415
o,88,-71.0849735953049,42.296034596529445
o,89,-71.1281866951382,42.35133678109107
o,90,-71.16882487199256,42.35416918766495
o,91,-71.22127002524182,42.179448352923366
o,92,-70.99163254670083,42.25943465335951
o,93,-71.01861526860007,42.138120259537196
o,94,-71.22012699256368,42.23414245575381
o,95,-70.93787976674977,42.21370675458537
o,96,-71.14521946862713,42.23448932172102
o,97,-71.2144402897484,42.05847358982454
o,98,-71.41919834878655,42.05105548034214
o,99,-70.90367708419205,42.106215997573656
o,100,-71.02863641851516,42.34293437377261
o,101,-71.04323210906905,42.29110393543796
o,102,-71.0175511533976,42.234212566035914
o,103,-71.08681450277733,42.4860120467048
o,104,-71.38667456156351,42.27714919687883
o,105,-71.47351899002878,42.03285767743381
o,106,-71.45930401827145,42.14868352529911
o,107,-71.15011493522454,42.145575202077495
o,108,-71.2010379585742,42.206003036250216
o,109,-71.18266360465394,42.50667780106011
o,110,-71.07965748551484,42.393280192872226
o,111,-71.03188266134211,42.43985235417995
o,112,-71.08738884077441,42.39790048740288
o,113,-71.44597378243395,42.257342208236736
o,114,-71.45843138755778,42.30054978791497
o,115,-71.09262003189464,42.389396392168074
o,116,-71.05220147433407,42.405761116945314
o,117,-71.07570259144308,42.44483080044467
o,118,-71.05826704848876,42.41251882849831
o,119,-71.1794294341196,42.489546661374355
o,120,-71.08342950433321,42.389307653237566
o,121,-71.09937521607523,42.343333906905144
o,122,-71.06540164130381,42.34999365984035
o,123,-71.06441429703062,42.36669082220898
o,124,-71.04901217773272,42.360036139821744
o,125,-71.02259214919013,42.413029915154326
o,126,-71.13307533778374,42.36086592303216
o,127,-71.06398194291451,42.35935802839519
o,128,-71.05627103849861,42.290849130225766
o,129,-71.03580993300032,42.38974637364732
