type,id,weight,lon,lat
essentialPlace,116,6,-71.17540347953543,42.396684041575504
essentialPlace,117,5,-71.10449850732107,42.33406208061896
essentialPlace,12,15,-71.0560705185663,42.40693803059268
essentialPlace,121,21,-71.13145649718757,42.35165106978487
essentialPlace,122,7,-71.08225451470634,42.3314280819076
essentialPlace,126,6,-71.02042053869079,42.26541512382454
essentialPlace,128,9,-71.13736749576488,42.348698072401376
essentialPlace,129,5,-71.07421551590666,42.34667607135156
essentialPlace,131,6,-71.07009060863588,42.35772864235352
essentialPlace,134,5,-71.0621795195424,42.364996059310805
essentialPlace,135,8,-70.97038554322086,42.458847993157114
essentialPlace,141,6,-71.08160151494732,42.32868508399607
essentialPlace,147,5,-71.08449951558961,42.30173210203194
essentialPlace,15,6,-71.1137100001461,42.31274000093735
essentialPlace,16,18,-70.94500002947846,42.46433437023725
essentialPlace,161,6,-71.06279051981146,42.34770507008895
essentialPlace,163,10,-71.08182851383403,42.34882707047745
essentialPlace,165,5,-71.13696349534233,42.35379706866264
essentialPlace,167,5,-70.95836654658999,42.46968098589893
essentialPlace,168,5,-71.15237549065726,42.34893307217141
essentialPlace,17,13,-71.09439851365964,42.26823312439439
essentialPlace,178,7,-71.06679251391016,42.4261020185542
essentialPlace,18,13,-71.01281053320871,42.409221028164566
essentialPlace,182,5,-71.06281152340655,42.28990610857904
essentialPlace,19,14,-70.99475253866439,42.4076710286958
essentialPlace,191,5,-71.06396663372963,42.34525873398853
essentialPlace,2,22,-71.09969850596525,42.37367305430117
essentialPlace,20,12,-71.12935450099651,42.28620911350554
essentialPlace,22,6,-71.09298334933837,42.39210949963898
essentialPlace,23,6,-71.04821692171157,42.33686280929775
essentialPlace,26,51,-71.05693352076887,42.357196064275705
essentialPlace,27,8,-71.09950550797565,42.344403073457244
essentialPlace,28,14,-71.07442651540963,42.35083506848807
essentialPlace,29,32,-71.0554891252743,42.36306498377912
essentialPlace,3,7,-71.0729576690406,42.334722477231644
essentialPlace,30,10,-71.1229106531742,42.35243864688816
essentialPlace,32,14,-71.07925060412119,42.31352863724687
essentialPlace,33,19,-71.12120431722076,42.34247113058205
essentialPlace,35,8,-71.11891483694171,42.38889210693619
essentialPlace,36,6,-71.11956850004617,42.37337705533823
essentialPlace,38,16,-71.06607552051709,42.31612009161608
essentialPlace,39,9,-70.93719355438319,42.469393985631186
essentialPlace,4,14,-71.10648063926723,42.33818865025668
essentialPlace,40,12,-70.96397354576868,42.46285799018394
essentialPlace,41,5,-71.10696063009726,42.41827028597374
essentialPlace,44,15,-71.0023705446346,42.25139913256874
essentialPlace,46,10,-71.12153549766552,42.39630403981776
essentialPlace,47,6,-71.02451368723938,42.27226855111724
essentialPlace,5,5,-71.16919562552604,42.3506906683176
essentialPlace,54,5,-71.0648374941878,42.45662001810871
essentialPlace,6,34,-71.03641830861248,42.39179427718848
essentialPlace,66,6,-71.00868753184581,42.44862700177384
essentialPlace,68,19,-71.05116252146098,42.3954670385975
essentialPlace,7,19,-71.07201062633693,42.29109863905494
essentialPlace,70,6,-71.06546609751582,42.375941411010196
essentialPlace,71,16,-71.09723717671594,42.38072911103723
essentialPlace,73,5,-71.04299952745744,42.33549807771331
essentialPlace,74,16,-71.07294061925826,42.34228864321729
essentialPlace,75,5,-71.08308062370955,42.30986863277137
essentialPlace,76,13,-71.23712146103698,42.369415061828974
essentialPlace,77,11,-71.12321750493925,42.2558801330438
essentialPlace,8,7,-71.05753452337754,42.31116209472353
essentialPlace,82,8,-71.12146021193338,42.33459667691089
essentialPlace,83,5,-71.06006752385422,42.299859101774345
essentialPlace,84,10,-71.06573751820436,42.36128706157752
essentialPlace,85,6,-71.02811352973794,42.37921604875553
essentialPlace,86,11,-71.10862550633479,42.32236208900029
essentialPlace,87,14,-71.10315503022684,42.3657152701296
essentialPlace,89,6,-71.06870852275674,42.2722441209914
essentialPlace,9,7,-71.06758999957266,42.30577000105698
essentialPlace,91,5,-71.10334950349626,42.39631703900416
essentialPlace,96,16,-71.10013650894773,42.314079093804914
