tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""25023530700""","""Boston-Cambridge-Newton, MA-NH""",2,4649,2141,7486.98,57,69,78,37,46,52,20,22,26,8.88,2.54,2.01,2,2,24126,21161,23691,1,0,1,14932,13445,13787,11471,10413,10391,3453,3028,3389,9,4,7,6,3,5,3.5,4.3,1.45,0.29,5371,58,5137,84,44,47,2076,2336,2429,1902,82,18
"""25023530801""","""Boston-Cambridge-Newton, MA-NH""",2,5521,2171,5509.06,55,66,75,34,43,48,21,23,27,10.14,4.01,2.12,2,2,24896,22008,24446,1,0,1,15657,14140,14478,12088,10989,10976,3563,3150,3497,7,2,5,5,1,4,1.9,3.4,0.93,0.39,5228,84,4010,84,39,61,1534,2149,2164,690,90,10
"""25023530802""","""Boston-Cambridge-Newton, MA-NH""",5,5206,1987,1967.81,51,61,69,31,39,43,20,22,26,10.11,13.52,2.03,2,2,23821,21127,23349,1,1,1,14979,13430,13800,11561,10402,10451,3409,3023,3340,9,4,9,7,3,6,2.8,3.8,1.73,1.01,5051,90,4091,84,11,153,1750,1938,1941,990,87,13
"""25023530901""","""Boston-Cambridge-Newton, MA-NH""",4,8200,2815,7925.39,54,65,73,33,41,46,21,24,27,11.36,4.85,2.14,2,2,25477,22659,25012,0,0,0,15892,14387,14691,12243,11144,11111,3646,3243,3578,3,0,2,2,0,1,1.5,3.4,1.31,0.36,4688,96,3575,83,33,57,1536,2062,2064,973,91,9
"""25023530902""","""Boston-Cambridge-Newton, MA-NH""",2,4669,1618,4738.02,58,69,78,37,46,51,21,24,27,11.35,3.89,2.12,2,2,25146,22140,24708,1,0,1,15710,14204,14539,12105,11033,10999,3599,3168,3535,7,2,5,5,2,4,1.8,3.6,1.11,0.34,4635,77,3691,83,46,49,1778,2308,2334,1191,93,7
"""25023540101""","""Boston-Cambridge-Newton, MA-NH""",3,3988,1534,5802.38,48,58,65,28,35,39,20,23,26,10.25,3.01,2.04,2,2,24543,21708,24056,2,1,1,15188,13755,14008,11664,10641,10558,3512,3107,3441,12,7,9,8,5,7,2.2,5.4,0.46,0.26,6978,74,8380,86,57,32,1776,1750,1864,980,79,21
"""25023540102""","""Boston-Cambridge-Newton, MA-NH""",1,2753,944,3811.4,45,54,61,24,30,34,21,24,27,11.58,2.87,2.14,2,2,25648,22915,25141,0,0,0,15873,14430,14651,12202,11151,11055,3670,3279,3596,0,0,0,0,0,0,1.9,3.9,0.76,0.25,5800,98,5679,85,38,39,2206,1532,1630,1077,82,18
"""25023540103""","""Boston-Cambridge-Newton, MA-NH""",2,4357,1302,9303.49,57,69,77,35,43,49,22,25,29,12.89,2.02,2.26,2,2,26322,23318,25840,0,0,0,16673,15193,15462,12907,11856,11765,3767,3337,3696,0,0,0,0,0,0,0.3,3.8,0.29,0.14,6040,98,6614,86,96,21,2417,2178,2178,,98,2
"""25023541100""","""Boston-Cambridge-Newton, MA-NH""",3,5385,1867,21497.33,56,67,76,34,42,47,22,25,29,11.84,1.09,2.27,2,2,26324,23441,25840,0,0,0,16726,15279,15497,12958,11924,11801,3767,3355,3696,0,0,0,0,0,0,0.7,2.5,0.24,0.09,4621,96,4702,85,102,16,2377,2116,2163,638,90,10
"""25023542101""","""Boston-Cambridge-Newton, MA-NH""",4,7568,2489,22101.64,56,67,76,34,42,48,22,25,28,12.11,1.55,2.24,2,2,26093,23135,25617,0,0,0,16545,15084,15336,12809,11773,11672,3734,3311,3664,1,0,0,1,0,0,0.5,3.5,0.29,0.11,5750,92,5872,85,133,14,2752,2135,2135,,92,8
