id,weight,lon,lat
694,2,-71.1003934698046,42.30912185542008
700,20,-71.0661129553805,42.348875590148666
701,3,-71.0650327517702,42.455986189586476
709,35,-71.09110909137561,42.38009169155475
713,5,-71.1582506425777,42.45384730124258
723,30,-70.9983559156381,42.40952147766799
726,9,-71.0724762668479,42.44012355900157
728,3,-71.4237952130361,42.48861478608446
733,1,-71.4143020440859,42.45013625164676
747,19,-71.0722612682148,42.336692935585944
781,5,-71.4087989497682,42.160105853987055
802,2,-71.0999653336957,42.42046364178196
813,54,-70.828396401232,42.235985647969976
840,24,-71.10073739443621,42.32665155325018
848,3,-71.1535309408147,42.34189072993047
849,74,-71.0368783229994,42.37679849721139
850,24,-71.0766728227614,42.29141062923477
851,4,-71.0758160398954,42.33519891414388
854,1,-71.1202448471475,42.25442704873826
855,81,-71.1075998838006,42.32307341471497
857,2,-71.1043841628225,42.34607909662076
860,5,-71.0373550924203,42.37047190441558
886,7,-71.3147467986178,42.304712960735685
904,4,-71.3451966659763,42.358888719351164
924,24,-71.5331039668842,42.43352935438087
957,19,-71.0685379460012,42.34224651599217
961,2,-71.0636363214341,42.352166525568464
962,15,-71.0675241786428,42.45764098989486
963,22,-71.0981141907745,42.322930592935855
985,4,-71.0529135659325,42.340541344670264
1011,3,-71.1525681792763,42.350150371000595
1013,2,-71.1008340179714,42.33015782310948
1015,350,-71.4269979828664,42.43715802538326
1024,60,-71.084460596349,42.26964743775016
1032,2,-71.1170861714358,42.31480946364406
1035,27,-70.9731696476382,42.38515929602907
1038,26,-71.0716718695484,42.338050206841466
1052,84,-71.090199975764,42.39570822142787
1064,2,-71.348280060977,42.53741964470719
1103,5,-70.926859618414,42.59279322609788
1111,60,-71.1507880064534,42.15710902876547
1148,6,-71.0609843425822,42.35532578243817
1156,6,-71.4038840000156,42.47107466751479
1160,60,-71.0845784982492,42.33779549682826
1162,2,-71.08723435357662,42.34551400943177
1163,3,-71.0676797872604,42.34408449188006
1171,4,-70.9097562569248,42.520827812119094
1194,2,-71.403446174388307,42.282089414453985
1199,15,-71.4552152629518,42.47553794609456
1207,3,-71.0586325872626,42.299410241268966
1211,4,-71.0346040005971,42.337917277859255
1216,57,-71.5919125650796,42.33568164183655
1220,28,-71.047640002466,42.34956047583638
1223,133,-71.0485936151377,42.34118824030416
1224,1,-71.1263209181674,42.28848909147387
1240,6,-71.1029540124432,42.34690934244668
1246,6,-71.0562793842504,42.339173886798584
1247,5,-71.122085033587,42.38860181323487
1251,3,-71.0698947130396,42.463454954488974
1261,8,-71.1337654384769,42.39833084271607
1281,18,-71.1183662778347,42.33117650213377
1290,29,-71.0748870514748,42.28995738266346
1292,12,-71.3698581931889,42.25176443124127
1294,302,-71.158712959355,42.36202640399767
1295,12,-71.0589948221554,42.37268003660828
1298,3,-71.0768165266246,42.33703505716967
1303,14,-71.0643887956492,42.28404864751087
1306,5,-71.0746753153693,42.346675940074064
1313,18,-71.068186438186,42.31946088440226
1320,32,-71.0205163521117,42.399202355289376
1321,3,-71.0477707127159,42.33723675094469
1331,5,-71.0685364385945,42.45580800759587
1337,90,-71.4395168229035,42.33019483467197
1355,45,-71.2436521051231,42.33355838049636
1357,1,-71.36285674151,42.370682186042465
1360,3,-70.6613124629724,42.61343349067708
1368,18,-71.45426619402,42.219992590349975
1373,11,-71.3597677559933,42.40857363723027
1377,2,-71.0648807859859,42.343488256841866
1385,13,-71.06554107354822,42.34315724999208
1388,18,-71.1042754484694,42.312790170964256
1390,3,-71.070679193188,42.34558985983387
1392,1,-70.8932393639671,42.524326164734184
1400,3,-71.0569579289101,42.36369838170589
1403,62,-71.1063969382914,42.299768135090474
1407,64,-71.1001602959779,42.320396419332674
1409,1,-71.0646698155197,42.343813989209565
1418,18,-71.1009360724573,42.31274236764796
1425,4,-70.8930364382053,42.564160235577575
1442,12,-71.5592122084921,42.31501999897216
1445,129,-71.0735539636465,42.31219510874137
1464,16,-71.4244902127614,42.43847066759767
1470,2,-71.0712048922481,42.380854645738765
1473,5,-71.0520833085371,42.35738634774477
1479,4,-71.0532591046597,42.33216579226108
1483,2,-71.0382108797575,42.367520181262876
1490,5,-71.0443769705584,42.33770216627025
1518,3,-71.0533661274425,42.340759246318555
1519,12,-71.0272355604659,42.612216641748574
1521,5,-71.1850198033043,42.36773185300548
1536,7,-71.081540315038,42.33954558282478
1538,22,-71.0745101752079,42.33067575279145
1553,18,-71.1412332815513,42.347448668411275
1564,3,-71.4017125978485,42.45568532152046
1580,36,-71.1188797871102,42.34794466301227
1597,4,-71.4262758307902,42.43802636959138
1601,5,-71.3432401210129,42.45477177372247
1609,2,-71.1478012192474,42.15123969323246
1628,6,-71.116524590374,42.49584076250007
1630,115,-71.0629366964149,42.348532702862656
1631,66,-71.0621656928519,42.35190311277257
1632,60,-71.0713832383294,42.37886861054487
1635,6,-70.9549120864989,42.18296657456146
1637,16,-71.2111453746036,42.36979642221908
1640,70,-71.5375035430315,42.21428147459158
1668,2,-71.053021625005,42.34077727374916
1671,3,-71.0558135782607,42.34122059994757
1677,6,-71.1271780713366,42.252804153940076
1679,9,-71.2044378165692,42.35354188172478
